generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.032,0,0.005,0
1000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.642964,0.0769263,0.0608349,0
2000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.15431,-0.103157,0.0050536,0
3000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.75181,-0.137086,0.193831,0
3000,Cattleya_coccinea,NA,6.56417,5.29725,-0.06422,2.23462,0
4000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.62195,-0.145506,0.0663499,0
5000,Cattleya_hoehnei,Epidendrum_centropetalum,0,2.1082,-0.167892,0.135911,0
6000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.94053,-0.185022,0.139217,0
7000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.962761,-0.00539265,0.0980022,0
8000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.720372,-0.0239014,0.0142706,0
8000,Rhyncholaelia_glauca,NA,6.61018,4.93858,-0.0412734,5.43012,0
8000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.40682,3.35086,-0.23007,0.23908,0
9000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.2639,-0.132129,0.164161,0
9000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.54903,1.77356,-0.0726298,0.178329,0
10000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.28855,-0.1062,0.161944,0
10000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.5412,1.4351,0.0103539,0.214935,0
11000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.23037,-0.102235,0.125303,0
11000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.37799,1.19682,0.0204856,0.0402137,0
12000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.339543,0.468241,0.0451224,0
12000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.82275,1.88957,-0.0621642,0.300549,0
13000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.584887,0.00843695,0.00529897,0
13000,Cattleya_araguaiensis,NA,3.04106,0.466407,-0.0349289,0.972267,0
13000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.53098,1.33875,0.130714,0.263582,0
14000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.3101,-0.0968014,0.0133969,0
15000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.938976,-0.0664787,0.0387939,0
15000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.61519,1.34863,0.23028,0.58942,0
16000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.14697,-0.092105,0.127098,0
16000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.73916,2.02039,-0.212314,0.0783796,0
17000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.46471,-0.110347,0.19858,0
18000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.00821,-0.116804,0.0254997,0
18000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.98118,2.77035,0.000198634,1.19983,0
19000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.61164,-0.132013,0.338362,0
19000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.5187,3.25485,-0.0237594,1.85809,0
20000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.731667,-0.0296564,0.0243501,0
20000,Epidendrum_centropetalum,Epidendrum_armeniacum,2.10661,3.56764,-0.274385,0.357067,0
21000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.531923,0.0420553,0.0598009,0
21000,Guarianthe_bowringiana,NA,6.04234,0.720733,-0.109015,4.22759,0
21000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.88832,2.8585,-0.266584,0.0433821,0
22000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.674958,-0.038218,0.0631319,0
22000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.54671,2.90759,-0.0463828,1.24161,0
23000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.629241,0.00849811,0.0166471,0
23000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.82096,2.79334,-0.159897,0.133295,0
24000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.421912,0.222905,0.0617787,0
24000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.75476,2.79913,-0.226844,0.0772396,0
25000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.987977,-0.125053,0.0292115,0
25000,Epidendrum_centropetalum,Epidendrum_armeniacum,2.1702,2.11286,-0.112854,0.0964703,0
26000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.862672,-0.00911596,0.239764,0
26000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.66771,2.31049,-0.0225511,0.856017,0
27000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.810364,-0.0655555,0.0329718,0
27000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.62183,2.00075,-0.144732,0.00305378,0
28000,Cattleya_hoehnei,Epidendrum_centropetalum,0,1.31465,-0.112458,0.0252763,0
28000,Epidendrum_centropetalum,Epidendrum_magnoliae,1.94398,3.23087,0.037664,2.3236,0
29000,Cattleya_hoehnei,Epidendrum_centropetalum,0,0.812986,-0.0671268,0.0300526,0
