generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.032,0.0444724,0.005,0
1000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.416739,0.0320391,0.520794,0
2000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.636173,0.0232018,0.799245,0
3000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.572076,0.01924,0.606662,0
4000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.474442,0.0379569,0.648763,0
5000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.414704,0.0361282,0.493164,0
6000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.450476,0.0352702,0.60424,0
7000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.439935,0.0520666,0.646184,0
8000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.423444,0.0691155,0.629195,0
9000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.452364,0.0339831,0.559238,0
10000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.49604,0.0341666,0.683828,0
11000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.497366,0.0480618,0.713231,0
12000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.826888,0.0207845,1.09045,0
12000,Chamaecrista_viscosa_var_paraguayensis,Chamaecrista_fagonioides,21.5689,0.468536,0.00675608,0.425115,0
13000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.957468,0.0156294,1.15627,0
14000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.746716,0.0323546,1.00291,0
15000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.75401,0.0190644,0.917967,0
16000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.7071,0.0169639,0.831123,0
17000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.826031,-0.00108198,0.710335,0
17000,Chamaecrista_decumbens,Chamaecrista_viscosa_var_paraguayensis,9.87438,0.907197,0.0356841,0.797172,0
18000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.234619,-0.0141719,0.0270735,0
18000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.9692,1.54015,-0.0381059,0.497183,0
18000,Chamaecrista_repens,NA,29.2821,0.602977,0.0593427,0.413264,0
18000,Chamaecrista_cardiostegia,Chamaecrista_flexuosa,22.7972,0.418673,0.00219651,0.0302254,0
18000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,27.8151,0.251352,-0.0338206,0.271244,0
19000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.681164,-0.000623328,0.592912,0
19000,Chamaecrista_brevicalyx,NA,30.2415,2.02378,-0.0727596,1.75568,0
19000,Chamaecrista_decumbens,Chamaecrista_viscosa_var_paraguayensis,14.8978,0.911302,0.0277419,0.710938,0
20000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.769377,0.0136506,0.850838,0
21000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.409744,0.00831469,0.301512,0
21000,Chamaecrista_decumbens,Chamaecrista_speciosa,30.3612,1.60899,-0.066979,0.183382,0
21000,Chamaecrista_roraimae,NA,32.0234,1.03704,-0.0138007,0.691975,0
21000,Chamaecrista_desvauxii_var_latispula,Chamaecrista_caribaea,15.5146,0.24795,-0.018718,0.00435859,0
22000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.255576,0.0316579,0.258713,0
22000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.807,1.7505,-0.0395084,0.234622,0
22000,Chamaecrista_desvauxii_var_latispula,Chamaecrista_caribaea,16.6,0.297128,-0.0479473,0.0781538,0
23000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.521734,0.00818942,0.55118,0
23000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.8233,1.43052,-0.0359257,0.186904,0
24000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.10317,0.0437752,0.00656241,0
24000,Chamaecrista_decumbens,Chamaecrista_speciosa,30.4268,1.41279,-0.00902029,0.218566,0
24000,Chamaecrista_cardiostegia,Chamaecrista_aristata,27.5041,0.826786,-0.00215054,0.00124263,0
25000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.120761,0.0749692,0.0316511,0
25000,Chamaecrista_isidorea,NA,31.8959,1.07598,-0.0527717,0.910196,0
25000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.8905,1.06067,-0.0199029,0.109481,0
25000,Chamaecrista_aristata,NA,32.0303,0.0281974,0.0106836,0.702858,0
25000,Chamaecrista_cardiostegia,Chamaecrista_aristata,28.0017,0.61868,0.0368689,0.0761408,0
26000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.202216,-6.56254e-05,0.0639156,0
26000,Chamaecrista_dalbergiifolia,Chamaecrista_brachyblepharis,31.6201,0.343036,-0.0186514,0.187392,0
26000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.9358,1.75899,-0.0420331,0.406108,0
26000,Chamaecrista_cardiostegia,Chamaecrista_aristata,27.8262,0.527144,0.0751649,0.0663444,0
27000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.248208,0.0245699,0.151125,0
27000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.6953,1.36451,-0.0020438,0.0110254,0
27000,Chamaecrista_desvauxii_var_latispula,Chamaecrista_caribaea,14.4716,0.253935,-0.0126663,0.0784535,0
28000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.465617,-0.00673868,0.300604,0
28000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.4968,2.09467,-0.0944963,0.716872,0
29000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.367021,-0.00209418,0.215012,0
29000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.1095,1.26259,0.00143762,0.00714065,0
30000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.230313,0.0446025,0.233337,0
30000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.356,1.1864,0.0308388,0.0605862,0
31000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.259491,0.0679629,0.387477,0
31000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.4317,1.31257,0.0150986,0.0595233,0
32000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.287627,0.004306,0.158162,0
32000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,27.6605,1.12245,-0.0189845,0.0943009,0
33000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.166398,0.0344932,0.142007,0
33000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,27.8228,1.74964,-0.0657636,0.142745,0
34000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.171513,0.0245753,0.14739,0
34000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.8275,1.41271,-0.0324124,0.209839,0
34000,Chamaecrista_cardiostegia,Chamaecrista_aristata,27.9213,0.60175,0.0313044,0.074323,0
35000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.146602,0.0112252,0.00748518,0
35000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.8727,0.914716,0.0319956,0.0841713,0
35000,Chamaecrista_cardiostegia,Chamaecrista_latifolia,31.0211,1.15892,-0.0300379,0.129279,0
36000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.154126,0.0246709,0.0554359,0
36000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.9155,1.40903,-0.012194,0.130676,0
36000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,29.3378,0.917908,-0.0106685,0.30706,0
37000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.308861,-0.00999547,0.130518,0
37000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.2234,1.82947,-0.0477396,0.0385601,0
37000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,30.4158,0.726043,0.0257939,0.0535707,0
38000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.261623,-0.00481939,0.112,0
38000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.8375,1.1046,0.0204687,0.103566,0
38000,Chamaecrista_cardiostegia,Chamaecrista_aristata,27.805,0.769963,-0.0103549,0.0784175,0
39000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.21085,-0.00721236,0.00370917,0
39000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.5106,1.79822,-0.0525467,0.414223,0
39000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,29.3473,0.666176,0.0134619,0.297664,0
39000,Chamaecrista_decora,Chamaecrista_cytisoides,29.5925,1.17424,0.00562238,0.17859,0
39000,Chamaecrista_onusta,Chamaecrista_amorimii,24.6003,1.35293,-0.0967233,0.468029,0
40000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.100701,0.0555803,0.0544218,0
40000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.9376,1.26269,0.021095,0.0732099,0
40000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,30.0282,0.778485,0.0243866,0.0223858,0
41000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.150151,0.0378883,0.10139,0
41000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.972,1.19369,0.0427041,0.558816,0
41000,Chamaecrista_cardiostegia,Chamaecrista_latifolia,30.9018,0.730696,0.00807429,0.00317247,0
42000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.102237,0.0952513,0.0284183,0
42000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.9921,1.16563,0.0492168,0.213181,0
42000,Chamaecrista_cardiostegia,Chamaecrista_latifolia,31.0867,0.823655,-0.0252346,0.344704,0
43000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.145069,0.01609,0.028994,0
43000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.8768,1.05955,0.00359637,0.0635254,0
43000,Chamaecrista_cardiostegia,Chamaecrista_simplifacta,30.1371,0.86253,0.00266042,0.132262,0
43000,Chamaecrista_belladonna,NA,33.3436,0.202331,-0.0522301,0.0043658,0
43000,Chamaecrista_decora,Chamaecrista_coriacea,24.352,0.500602,-7.07393e-06,0.171621,0
44000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.0942022,0.052699,0.00391515,0
44000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.4807,1.27132,-0.0312292,0.0592331,0
44000,Chamaecrista_cardiostegia,Chamaecrista_aristata,28.2891,0.893747,0.0111979,0.216518,0
45000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.109296,0.0344029,0.0113124,0
45000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,28.4769,1.09247,0.0258626,0.178313,0
45000,Chamaecrista_cardiostegia,Chamaecrista_aristata,28.6911,0.537703,0.0414128,0.00376241,0
45000,Chamaecrista_nictitans_subsp_brachypoda,NA,33.6334,0.928945,-0.0150512,1.13285,0
46000,Chamaecrista_decumbens,Chamaecrista_onusta,0,0.123649,0.0245235,0.0216462,0
46000,Chamaecrista_decumbens,Chamaecrista_dalbergiifolia,29.9415,1.1538,0.0235594,0.165745,0
