generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.032,0,0.005,0
1000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.543895,-0.0184769,0.111874,0
2000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.942902,-0.0887789,0.0669519,0
2000,Diplusodon_bradei,Diplusodon_nitidus,0.29253,0.948131,-0.117903,1.16881,0
3000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.810171,-0.0532583,0.225631,0
4000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.638738,-0.0306962,0.109923,0
5000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.505551,0.00419889,0.0963562,0
6000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.322423,0.122415,0.126399,0
7000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.35149,0.0348336,0.0325443,0
8000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,1.07823,-0.0854258,0.303312,0
9000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.546508,-0.0299411,0.0974372,0
10000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.342591,0.0874789,0.0961959,0
11000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.855702,-0.068961,0.0282496,0
12000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.408355,0.0157854,0.120698,0
12000,Diplusodon_speciosus,NA,9.32881,1.1056,0.199369,0.941963,0
12000,Diplusodon_bradei,Diplusodon_nitidus,5.48873,0.221988,-0.114027,0.0454911,0
13000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.54175,-0.0218285,0.0120833,0
13000,Diplusodon_bolivianus,NA,8.73037,2.35034,-0.124359,4.10684,0
13000,Diplusodon_minasensis,NA,9.04335,0.397123,-0.000189247,0.150912,0
14000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.571529,-0.0334817,0.0766605,0
15000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.942409,-0.0508055,0.313606,0
16000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.585319,-0.0296937,0.067107,0
17000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.363769,0.0823937,0.2045,0
18000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.767367,-0.034053,0.143742,0
19000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,1.01298,-0.0907926,0.135176,0
20000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.403011,0.0755052,0.134634,0
21000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.470677,0.00249206,0.023802,0
22000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.311552,0.0946776,0.083109,0
23000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.293918,0.211798,0.215421,0
24000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.537419,-0.000999331,0.215887,0
25000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.518479,-0.0215985,0.0106026,0
26000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.424418,-0.00223224,0.00404377,0
26000,Diplusodon_glocimarii,NA,7.62698,0.866888,0.0383314,1.7192,0
27000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.466487,-0.0101826,0.00535928,0
27000,Diplusodon_minasensis,NA,8.51758,0.0637008,0.204641,0.459794,0
28000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.422769,0.0236305,0.0446366,0
29000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.251723,0.255505,0.0174119,0
30000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.291452,0.346063,0.26478,0
31000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.276524,0.2748,0.0429557,0
32000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.279862,0.11362,0.0167715,0
33000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.538033,-0.0196502,0.0953821,0
34000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,1.24284,-0.0847067,0.261051,0
35000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.28731,0.105108,0.0961466,0
36000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.268821,0.0954486,0.0472734,0
37000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.36356,0.0831545,0.010076,0
38000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.553884,-0.0208976,0.129775,0
39000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.548658,-0.0417956,0.00040907,0
40000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.727118,-0.0631703,0.0308673,0
41000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.520549,-0.0323332,0.0416732,0
42000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.249712,0.162213,0.0803754,0
43000,Diplusodon_ulei_var_ciliatus,Diplusodon_bradei,0,0.389748,0.00848206,0.134691,0
