generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.032,0,0.005,0
1000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.72778,0.0713463,0.106319,0
1000,Albertinia_brasiliensis,NA,5.98786,0.164167,-0.196383,3.62051,0
2000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.884838,0.0623346,0.136261,0
2000,Albertinia_brasiliensis,NA,7.36939,1.5908,-0.15457,10.3053,0
3000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.680627,0.0609188,0.0631218,0
3000,Albertinia_brasiliensis,NA,3.71571,0.377937,-0.0216746,1.16677,0
4000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.700718,0.100263,0.0323366,0
4000,Proteopsis_argentea,Proteopsis_sp1,6.92409,0.246631,0.058189,0.687107,0
4000,Albertinia_brasiliensis,NA,5.06911,2.06166,0.0241424,4.26316,0
5000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.493006,0.234537,0.011208,0
5000,Minasia_cabralensis,Minasia_ramosa,7.91761,0.53635,-0.0229575,0.245804,0
5000,Albertinia_brasiliensis,NA,6.24939,0.490293,0.113157,4.8538,0
6000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.790232,0.09998,0.0606854,0
6000,Eremanthus_mattogrossensis,NA,7.50221,0.318374,-0.154008,3.84479,0
6000,Albertinia_brasiliensis,NA,6.12522,0.00197155,-0.0272604,2.62486,0
7000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.97886,0.0307724,0.0613221,0
7000,Albertinia_brasiliensis,NA,5.35323,2.14153,-0.118897,4.57222,0
8000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.574412,0.17868,0.101457,0
8000,Albertinia_brasiliensis,NA,6.22729,0.580082,0.147295,4.24752,0
9000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.587164,0.146845,0.0382969,0
9000,Albertinia_brasiliensis,NA,6.83912,0.266836,0.17708,4.59601,0
10000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.633567,0.127231,0.0700477,0
11000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.626201,0.0598872,0.0603923,0
11000,Lychnophora_passerina,NA,7.86242,1.19492,-0.0827914,2.55925,0
11000,Albertinia_brasiliensis,NA,5.01258,1.53648,-0.109534,1.82773,0
12000,Eremanthus_arboreus,Albertinia_brasiliensis,0,0.794779,0.0209995,0.00351397,0
12000,Lychnophora_gardneri,Lychnophora_granmogolensis,7.34492,2.53894,0.11104,1.31242,0
12000,Eremanthus_crotonoides,NA,7.74215,0.678287,-0.0394999,0.910817,0
12000,Lychnophora_sp2,NA,8.06707,2.13983,0.237194,1.71802,0
12000,Albertinia_brasiliensis,NA,5.0846,0.0451076,-0.0759702,2.4927,0
