,cr,nonCr,Single_trait
Mimosa_vernicosa_ciliata,0,1,0
Mimosa_foliolosa_gravida,0,1,0
Mimosa_pachycarpoides,0,1,0
Mimosa_foliolosa_multipinna,0,1,0
Mimosa_albolanata,0,1,0
Mimosa_corynadenia,0,1,0
Mimosa_uliginosa,0,1,0
Mimosa_uraguensis,0,1,0
Mimosa_hatschbachii,0,1,0
Mimosa_cruenta,0,1,0
Mimosa_bifurca,0,1,0
Mimosa_sanguinolenta,0,1,0
Mimosa_strobiliflora,0,1,0
Mimosa_riedelii,0,1,0
Mimosa_aguapeia,0,1,0
Mimosa_elliptica,0,1,0
Mimosa_spixiana,0,1,0
Mimosa_hebecarpa,0,1,0
Mimosa_coruscocaesia,0,1,0
Mimosa_sericantha,0,1,0
Mimosa_artemisiana,0,1,0
Mimosa_fiebrigii,0,1,0
Mimosa_schomburgkii,0,1,0
Mimosa_interrupta,0,1,0
Mimosa_glutinosa,0,1,0
Mimosa_xavantinae,0,1,0
Mimosa_apodocarpa,0,1,0
Mimosa_insignis,0,1,0
Mimosa_camporum,0,1,0
Mimosa_cisparanensis,0,1,0
Mimosa_deamii,0,1,0
Mimosa_tricephala_nelsonii,0,1,0
Mimosa_sicyocarpa,0,1,0
Mimosa_psilocarpa,0,1,0
Mimosa_sousae,0,1,0
Mimosa_goldmanii,0,1,0
Mimosa_acapulcensis,0,1,0
Mimosa_caerulea,0,1,0
Mimosa_lactiflua,0,1,0
Mimosa_xanti,0,1,0
Mimosa_polycarpa_subandina,0,1,0
Mimosa_brevipetiolata_hirtula,0,1,0
Mimosa_flagellaris,0,1,0
Mimosa_polycarpa_redundans,0,1,0
Mimosa_lamolina,0,1,0
Mimosa_ctenodes,0,1,0
Mimosa_incarum,0,1,0
Mimosa_polycarpa,0,1,0
Mimosa_loxensis,0,1,0
Mimosa_pectinatipinna,0,1,0
Mimosa_rusbyana,0,1,0
Mimosa_boliviana,0,1,0
Mimosa_woodii,0,1,0
Mimosa_urticaria,0,1,0
Mimosa_taimbensis,0,1,0
Mimosa_incana,0,1,0
Mimosa_kuhnisteroides,0,1,0
Mimosa_orthacantha,0,1,0
Mimosa_fachinalensis,0,1,0
Mimosa_dutrae,0,1,0
Mimosa_atlantica,0,1,0
Mimosa_ramulosa,0,1,0
Mimosa_coniflora,0,1,0
Mimosa_callidryas,0,1,0
Mimosa_chartostegia,0,1,0
Mimosa_pilulifera,0,1,0
Mimosa_daleoides,0,1,0
Mimosa_lepidorepens,0,1,0
Mimosa_involucrata,0,1,0
Mimosa_gymnas,0,1,0
Mimosa_furfuracea,0,1,0
Mimosa_barretoi,0,1,0
Mimosa_flocculosa,0,1,0
Mimosa_scabrella,0,1,0
Mimosa_polydactyla,0,1,0
Mimosa_callithrix,0,1,0
Mimosa_polycephala,0,1,0
Mimosa_misera,0,1,0
Mimosa_xiquexiquensis,0,1,0
Mimosa_cuiabensis,0,1,0
Mimosa_caesalpiniifolia,0,1,0
Mimosa_bimucronata,0,1,0
Mimosa_pseudosepiaria,0,1,0
Mimosa_aspera,0,1,0
Mimosa_guatemalensis,0,1,0
Mimosa_mollis,0,1,0
Mimosa_calcicola,0,1,0
Mimosa_tejupilcana,0,1,0
Mimosa_monancistra,0,1,0
Mimosa_similis,0,1,0
Mimosa_dysocarpa,0,1,0
Mimosa_costenya,0,1,0
Mimosa_emoryana,0,1,0
Mimosa_grahamii,0,1,0
Mimosa_depauperata,0,1,0
Mimosa_lacerata,0,1,0
Mimosa_biuncifera,0,1,0
Mimosa_texana_texana,0,1,0
Mimosa_texana_filipes,0,1,0
Mimosa_palmeri,0,1,0
Mimosa_nanchititlana,0,1,0
Mimosa_adenantheroides,0,1,0
Mimosa_minutifolia,0,1,0
Mimosa_rhodocarpa,0,1,0
Mimosa_aculeaticarpa,0,1,0
Mimosa_dominguensis,0,1,0
Mimosa_galleotti,0,1,0
Mimosa_benthami,0,1,0
Mimosa_luisana,0,1,0
Mimosa_adenantheroides_hystricosa,0,1,0
Mimosa_unipinnata,0,1,0
