,cr,nonCr
Blepharodon_pictum,1,1
Ditassa_banksii,0,1
Ditassa_burchellii,0,1
Ditassa_capillaris,1,1
Ditassa_fasciculata,1,0
Ditassa_hispida,0,1
Hemipogon_abietoides,1,0
Hemipogon_acerosus,1,1
Hemipogon_carassensis,1,1
Hemipogon_hatschbachii,1,0
Hemipogon_hemipogonoides,1,0
Hemipogon_luteus,1,0
Hemipogon_sprucei,0,1
Nephradenia_acerosa,1,1
Nephradenia_asparagoides,1,0
Nephradenia_filipes,0,1
Barjonia_chlorifolia,1,0
Barjonia_cymosa,0,1
Barjonia_erecta,1,1
Blepharodon_ampliflorum,1,1
Barjonia_harleyi,1,0
Ditassa_decussata,1,0
Hemipogon_harleyi,1,0
Minaria_abortiva,1,1
Minaria_acerosa,1,1
Minaria_campanuliflora,1,0
Minaria_cordata,1,1
Minaria_diamantinensis,1,0
Minaria_ditassoides,1,0
Minaria_grazielae,1,0
Minaria_hemipogonoides,1,0
Minaria_lourteigiae,1,0
Minaria_magisteriana,1,0
Minaria_micromeria,1,1
Minaria_parva,1,0
Minaria_refractifolia,1,0
Minaria_semirii,1,0
Minaria_polygaloides,1,0
Petalostelma_martianum,0,1
