,cr,nonCr,Single_trait
Actinocephalus_brachypus,1,0,2
Actinocephalus_ciliatus,1,0,2
Actinocephalus_deflexus,1,0,2
Actinocephalus_divaricatus,1,0,2
Actinocephalus_falcifolius,1,0,2
Actinocephalus_geniculatus,1,0,2
Actinocephalus_glareosus,1,0,2
Actinocephalus_stereophyllus,1,0,2
Paepalanthus_acanthophyllus,1,0,2
Paepalanthus_albiceps,1,0,2
Paepalanthus_almasensis,1,0,2
Paepalanthus_amoenus,1,0,2
Paepalanthus_aretioides,1,0,2
Paepalanthus_argenteus,1,0,2
Paepalanthus_argyrotrychus,1,0,2
Paepalanthus_augustus,1,0,2
Paepalanthus_baraunensis,1,0,2
Paepalanthus_barbulatus,1,0,2
Paepalanthus_bonsai,1,0,2
Paepalanthus_brevicaulis,1,0,2
Paepalanthus_bromelioides,1,0,2
Paepalanthus_bryoides,1,0,2
Paepalanthus_calvulus,1,0,2
Paepalanthus_camptophyllus,1,0,2
Paepalanthus_canastrensis,1,0,2
Paepalanthus_canescens,1,0,2
Paepalanthus_capillifolius,1,0,2
Paepalanthus_carvalhoi,1,0,2
Paepalanthus_chrysolepis,1,0,2
Paepalanthus_chrysophorus,1,0,2
Paepalanthus_ciliolatus,1,0,2
Paepalanthus_cinereus,1,0,2
Paepalanthus_comans,1,0,2
Paepalanthus_complanatus,1,0,2
Paepalanthus_contasensis,1,0,2
Paepalanthus_crinitus,1,0,2
Paepalanthus_dasynema,1,0,2
Paepalanthus_diamantinensis,1,0,2
Paepalanthus_digitiformis,1,0,2
Paepalanthus_diplobetor,1,0,2
Paepalanthus_distichophyllus,1,0,2
Paepalanthus_echinoides,1,0,2
Paepalanthus_elongatus,1,0,2
Paepalanthus_erectifolius,1,0,2
Paepalanthus_erigeron,1,0,2
Paepalanthus_eriophaeus,1,0,2
Paepalanthus_exiguus,1,0,2
Paepalanthus_extremensis,1,0,2
Paepalanthus_falcatus,1,0,2
Paepalanthus_farinaceus,1,0,2
Paepalanthus_fasciculifer,1,0,2
Paepalanthus_flavorutilus,1,0,2
Paepalanthus_glaziovii,1,0,2
Paepalanthus_harleyi,1,0,2
Paepalanthus_hydra,1,0,2
Paepalanthus_implicatus,1,0,2
Paepalanthus_itambeensis,1,0,2
Paepalanthus_latifolius,1,0,2
Paepalanthus_latipes,1,0,2
Paepalanthus_leucoblepharus,1,0,2
Paepalanthus_leucocephalus,1,0,2
Paepalanthus_longibracteatus,1,0,2
Paepalanthus_macrocaulon,1,0,2
Paepalanthus_macrocaulon_var_contasensis,1,0,2
Paepalanthus_macrocaulon_var_kingii,1,0,2
Paepalanthus_macrocephalus,1,0,2
Paepalanthus_macropodus,1,0,2
Paepalanthus_maculatus,1,0,2
Paepalanthus_mendoncianus,1,0,2
Paepalanthus_microphyllus,1,0,2
Paepalanthus_modestus,1,0,2
Paepalanthus_moedensis,1,0,2
Paepalanthus_mollis_var_itambeensis,1,0,2
Paepalanthus_montanus,1,0,2
Paepalanthus_multistellaris,1,0,2
Paepalanthus_neglectus,1,0,2
Paepalanthus_niger,1,0,2
Paepalanthus_nigrescens,1,0,2
Paepalanthus_obconicus,1,0,2
Paepalanthus_oblongifolius,1,0,2
Paepalanthus_orthogonalis,1,0,2
Paepalanthus_polycladus,1,0,2
Paepalanthus_polygonus,1,0,2
Paepalanthus_praemorsus,1,0,2
Paepalanthus_prostratus,1,0,2
Paepalanthus_pubescens,1,0,2
Paepalanthus_pulchellus,1,0,2
Paepalanthus_pulvinatus,1,0,2
Paepalanthus_reflexus,1,0,2
Paepalanthus_regalis,1,0,2
Paepalanthus_regelianus,1,0,2
Paepalanthus_rupestris,1,0,2
Paepalanthus_scandens,1,0,2
Paepalanthus_scirpeus,1,0,2
Paepalanthus_scleranthus,1,0,2
Paepalanthus_serpens,1,0,2
Paepalanthus_serrinhensis,1,0,2
Paepalanthus_silveirae,1,0,2
Paepalanthus_spathulatus,1,0,2
Paepalanthus_sphaerocephalus,1,0,2
Paepalanthus_spixianus,1,0,2
Paepalanthus_stannardii,1,0,2
Paepalanthus_subfalcatus,1,0,2
Paepalanthus_subfalcatus_var_villosus,1,0,2
Paepalanthus_superbus,1,0,2
Paepalanthus_trichopetalus,1,0,2
Paepalanthus_trichophyllus,1,0,2
Paepalanthus_tuberosus,1,0,2
Paepalanthus_vaginatus,1,0,2
Paepalanthus_vellozioides,1,0,2
Paepalanthus_velutiphyllus,1,0,2
Paepalanthus_villosulus,1,0,2
Paepalanthus_viridipes,1,0,2
Paepalanthus_viridulus,1,0,2
Paepalanthus_xanthopus,1,0,2
Paepalanthus_urbanianus,1,0,2
Paepalanthus_plumosus,1,0,2
Paepalanthus_fasciculatus,0,1,0
Paepalanthus_guaraiensis,0,1,0
Paepalanthus_jahnii,0,1,0
Actinocephalus_polyanthus,0,1,0
Lachnocaulon_anceps,0,1,0
Lachnocaulon_beyrichianum,0,1,0
Paepalanthus_acantholimon,0,1,0
Paepalanthus_acuminatus,0,1,0
Paepalanthus_albovaginatus,0,1,0
Paepalanthus_alpestris,0,1,0
Paepalanthus_alpinus,0,1,0
Paepalanthus_andicola,0,1,0
Paepalanthus_caldensis,0,1,0
Paepalanthus_calvus,0,1,0
Paepalanthus_caparoensis,0,1,0
Paepalanthus_catharinae,0,1,0
Paepalanthus_celsus,0,1,0
Paepalanthus_costaricensis,0,1,0
Paepalanthus_crassicaulis,0,1,0
Paepalanthus_dendroides,0,1,0
Paepalanthus_ensifolius,0,1,0
Paepalanthus_fraternus,0,1,0
Paepalanthus_freyreissii,0,1,0
Paepalanthus_fulgidus,0,1,0
Paepalanthus_glabrifolius,0,1,0
Paepalanthus_harmsii,0,1,0
Paepalanthus_itatiaiensis,0,1,0
Paepalanthus_lamarckii,0,1,0
Paepalanthus_lindenii,0,1,0
Paepalanthus_lodiculoides,0,1,0
Paepalanthus_longivaginatus,0,1,0
Paepalanthus_macaheensis,0,1,0
Paepalanthus_meridensis,0,1,0
Paepalanthus_nipensis,0,1,0
Paepalanthus_obtusifolius,0,1,0
Paepalanthus_ovatus,0,1,0
Paepalanthus_paramensis,0,1,0
Paepalanthus_petraeus,0,1,0
Paepalanthus_pilosus,0,1,0
Paepalanthus_pungens,0,1,0
Paepalanthus_repens,0,1,0
Paepalanthus_schlimii,0,1,0
Paepalanthus_schomburgkii,0,1,0
Paepalanthus_septentrionalis,0,1,0
Paepalanthus_stegolepoides,0,1,0
Paepalanthus_subcaulescens,0,1,0
Paepalanthus_venustus,0,1,0
Rondonanthus_capillaceus,0,1,0
Rondonanthus_roraimae,0,1,0
Syngonanthus_arenarius,0,1,0
Syngonanthus_caulescens,0,1,0
Tonina_fluviatilis,0,1,0
Paepalanthus_polytrichoides,1,1,1
Paepalanthus_scholiophyllus,1,1,1
Paepalanthus_subtilis,1,1,1
Paepalanthus_klotzschianus,1,1,1
Actinocephalus_bongardii,1,1,1
Actinocephalus_ramosus,1,1,1
Paepalanthus_bifidus,1,1,1
Paepalanthus_chiquitensis,1,1,1
Paepalanthus_cordatus,1,1,1
Paepalanthus_globulifer,1,1,1
Paepalanthus_lundii,1,1,1
Paepalanthus_melaleucus,1,1,1
Paepalanthus_planifolius,1,1,1
Paepalanthus_sessiliflorus,1,1,1
Paepalanthus_tortilis,1,1,1
