,cr,nonCr,Single_trait
Diplusodon_adpressipilus,1,0,2
Diplusodon_aggregatifolius,1,0,2
Diplusodon_alatus,1,0,2
Diplusodon_appendiculosus,1,0,2
Diplusodon_argenteus,1,0,2
Diplusodon_argyrophyllus,1,0,2
Diplusodon_astictus,1,0,2
Diplusodon_bahiensis,1,0,2
Diplusodon_bolivianus,1,0,2
Diplusodon_bradei,1,0,2
Diplusodon_burchellii,1,0,2
Diplusodon_buxifolius,1,0,2
Diplusodon_candollei,1,0,2
Diplusodon_capitalensis,1,0,2
Diplusodon_chapadensis,1,0,2
Diplusodon_ciliatiflorus,1,0,2
Diplusodon_cordifolius,1,0,2
Diplusodon_cryptanthus,1,0,2
Diplusodon_decussatus,1,0,2
Diplusodon_divaricatus,1,0,2
Diplusodon_epilobioides,1,0,2
Diplusodon_ericoides,1,0,2
Diplusodon_fastigiatus,1,0,2
Diplusodon_glaucescens,1,0,2
Diplusodon_glaziovii,1,0,2
Diplusodon_glocimarii,1,0,2
Diplusodon_hatschbachii,1,0,2
Diplusodon_helianthemifolius_var_helianthemifolius,1,0,2
Diplusodon_heringeri,1,0,2
Diplusodon_hexander,1,0,2
Diplusodon_hirsutus,1,0,2
Diplusodon_imbricatus,1,0,2
Diplusodon_kielmeyeroides,1,0,2
Diplusodon_kielmeyeroides_var_microcalyx,1,0,2
Diplusodon_longipes,1,0,2
Diplusodon_marginatus,1,0,2
Diplusodon_micromerus,1,0,2
Diplusodon_microphyllus,1,0,2
Diplusodon_minasensis,1,0,2
Diplusodon_mononeuros,1,0,2
Diplusodon_nitidus,1,0,2
Diplusodon_orbicularis,1,0,2
Diplusodon_panniculatus,1,0,2
Diplusodon_paraisoensis,1,0,2
Diplusodon_parvifolius,1,0,2
Diplusodon_petiolatus,1,0,2
Diplusodon_plumbeus,1,0,2
Diplusodon_punctatus,1,0,2
Diplusodon_punctatus_var_punctatus,1,0,2
Diplusodon_pygmaeus,1,0,2
Diplusodon_quintuplinervius,1,0,2
Diplusodon_ramosissimus,1,0,2
Diplusodon_retroimbricatus,1,0,2
Diplusodon_rosmarinifolius,1,0,2
Diplusodon_rotundifolius,1,0,2
Diplusodon_rupestris,1,0,2
Diplusodon_sessiliflorus,1,0,2
Diplusodon_sigillatus,1,0,2
Diplusodon_sordidus,1,0,2
Diplusodon_subsericeus,1,0,2
Diplusodon_ulei_var_ciliatus,1,0,2
Diplusodon_ulei_var_ulei,1,0,2
Diplusodon_uninervius,1,0,2
Diplusodon_urceolatus,1,0,2
Diplusodon_vidalii,1,0,2
Diplusodon_villosus,1,0,2
Diplusodon_xerophilus,1,0,2
Diplusodon_rotatus,0,1,0
Diplusodon_thymifolius,0,1,0
Diplusodon_helianthemifolius_var_pemphoides,1,1,1
Diplusodon_incanus,1,1,1
Diplusodon_lanceolatus,1,1,1
Diplusodon_macrodon,1,1,1
Diplusodon_oblongus,1,1,1
Diplusodon_ovatus,1,1,1
Diplusodon_puberulus,1,1,1
Diplusodon_speciosus,1,1,1
Diplusodon_strigosus,1,1,1
Diplusodon_villosissimus,1,1,1
Diplusodon_virgatus,1,1,1
Adenaria_floribunda,0,1,OUT
Capuronia_madagascariensis,0,1,OUT
Cuphea_acicularis,0,1,OUT
Heimia_apetala,0,1,OUT
Lafoensia_nummularifolia,0,1,OUT
Lafoensia_pacari,0,1,OUT
Lourtella_resinosa,0,1,OUT
Lythrum_hyssopifolia,0,1,OUT
Physocalymma_scaberrimum,0,1,OUT
Pleurophora_saccocarpa,0,1,OUT
Punica_granatum,0,1,OUT
Rotala_ramosior,0,1,OUT
Woodfordia_fruticosa,0,1,OUT
