,cr,nonCr
Bonatea_antennifera,0,1
Bonatea_boltonii,0,1
Bonatea_bracteata,0,1
Bonatea_cassidea,0,1
Bonatea_lamprophylla,0,1
Bonatea_polypodantha,0,1
Bonatea_porrecta,0,1
Bonatea_pulchella,0,1
Bonatea_saundersioides,0,1
Bonatea_speciosa,0,1
Cynorkis_grandiflora,0,1
Disa_ochrostachya,0,1
Disa_uniflora,0,1
Gennaria_diphylla,0,1
Habenaria_achalensis,0,1
Habenaria_alata,0,1
Habenaria_alpestris,1,1
Habenaria_anisitsii,1,1
Habenaria_araneiflora,0,1
Habenaria_aranifera,0,1
Habenaria_arenaria,0,1
Habenaria_armata,1,1
Habenaria_ayangannensis,1,0
Habenaria_bahiensis,1,0
Habenaria_balansae,1,1
Habenaria_batesii,0,1
Habenaria_brachyphyton,0,1
Habenaria_bractescens,0,1
Habenaria_brevidens,1,0
Habenaria_brevilabiata,0,1
Habenaria_caldensis,1,0
Habenaria_calicis,0,1
Habenaria_canantrensis,1,0
Habenaria_cardiostigmatica,1,0
Habenaria_ciliatisepala,1,0
Habenaria_clavata,0,1
Habenaria_clipeata,0,1
Habenaria_coxipoensis,1,1
Habenaria_crassicornis,0,1
Habenaria_crucifera,1,1
Habenaria_crucifera_var_brevidactyla,1,0
Habenaria_cryptophila,1,1
Habenaria_culicina,1,1
Habenaria_cultellifolia,1,1
Habenaria_curti_bradei,1,1
Habenaria_curvilabra,1,0
Habenaria_depressifolia,1,0
Habenaria_distans,1,0
Habenaria_dives,0,1
Habenaria_edwallii,1,1
Habenaria_egleriana,1,0
Habenaria_espinhacensis,1,0
Habenaria_exaltata,0,1
Habenaria_filifera,0,1
Habenaria_flexuosa,0,1
Habenaria_fluminensis,1,1
Habenaria_glaucophylla_var_brevifolia,1,1
Habenaria_glaucophylla_var_glaucophylla,1,1
Habenaria_glazioviana,0,1
Habenaria_gonzalez_tamayoi,0,1
Habenaria_gourlieana,0,1
Habenaria_guadalajarana,0,1
Habenaria_guilleminii,1,1
Habenaria_gustavo_edwallii,0,1
Habenaria_hamata,1,1
Habenaria_henscheniana,0,1
Habenaria_heptadactyla,1,1
Habenaria_heringeri,1,0
Habenaria_hexaptera,1,1
Habenaria_hieronymi,1,1
Habenaria_hippocrepica,1,0
Habenaria_humilis,1,0
Habenaria_ibarrae,0,1
Habenaria_imbricata,1,0
Habenaria_itaculumia,1,0
Habenaria_itatiayae,1,1
Habenaria_jaguariahyvae,1,0
Habenaria_johannensis,0,1
Habenaria_josephensis,1,1
Habenaria_juruenensis,1,0
Habenaria_kleinii,0,1
Habenaria_laevigata,0,1
Habenaria_lavrensis,1,1
Habenaria_leprieurii,1,1
Habenaria_leptoceras,0,1
Habenaria_leucosantha,1,1
Habenaria_lithophila,0,1
Habenaria_longicauda,0,1
Habenaria_ludibundiciliata,1,1
Habenaria_macilenta,1,1
Habenaria_macroceratitis,0,1
Habenaria_macronectar,0,1
Habenaria_macvaughiana,0,1
Habenaria_magdalenensis,1,0
Habenaria_magniscutata,1,0
Habenaria_mannii,0,1
Habenaria_meena,1,0
Habenaria_melanopoda,1,1
Habenaria_mello_barretoi,1,0
Habenaria_monorrhiza,0,1
Habenaria_montevidensis,1,1
Habenaria_montis_wilhelminae,0,1
Habenaria_mystacina,1,1
Habenaria_nabucoi,0,1
Habenaria_nasuta,1,1
Habenaria_nemorosa,0,1
Habenaria_nuda,1,1
Habenaria_nuda_var_pygmae,1,0
Habenaria_obtusa,1,1
Habenaria_odontopetala,0,1
Habenaria_orchiocalcar,1,1
Habenaria_pabstii,1,1
Habenaria_paranaensis,0,1
Habenaria_parviflora,1,1
Habenaria_paulensis,0,1
Habenaria_paulistana,0,1
Habenaria_petalodes,1,1
Habenaria_piraquarensis,0,1
Habenaria_pleiophylla,0,1
Habenaria_praestans,0,1
Habenaria_pratensis,0,1
Habenaria_psammophila,1,0
Habenaria_pseudoculicina,1,0
Habenaria_pseudoglaucophylla,1,0
Habenaria_pseudohamata,1,0
Habenaria_pubidactyla,1,0
Habenaria_pubidactyla_subsp_brasiliensis,1,0
Habenaria_pubidactyla_var_apiculatipetala,1,0
Habenaria_pungens,1,0
Habenaria_quadriferricola,1,0
Habenaria_quinqueseta,0,1
Habenaria_reflexicalcar,1,0
Habenaria_regnellii,0,1
Habenaria_repens,1,1
Habenaria_rodeiensis,1,1
Habenaria_rolfeana,1,1
Habenaria_roraimensis,0,1
Habenaria_rotundiloba,0,1
Habenaria_rupicola,1,1
Habenaria_rzedowskiana,0,1
Habenaria_schenckii,1,1
Habenaria_schwackei,1,1
Habenaria_secunda,0,1
Habenaria_secundiflora,1,1
Habenaria_setacea,1,0
Habenaria_seticauda,0,1
Habenaria_sp1,0,1
Habenaria_sp2,1,1
Habenaria_sp3,1,0
Habenaria_sp4,0,1
Habenaria_spanophytica,1,0
Habenaria_spathulifera,1,1
Habenaria_sprucei,1,0
Habenaria_strictissima,0,1
Habenaria_subauriculata,0,1
Habenaria_subfiliformis,1,1
Habenaria_subviridis,1,1
Habenaria_tamanduensis,1,0
Habenaria_tridens,0,1
Habenaria_trifida,1,1
Habenaria_uliginosa,0,1
Habenaria_umbraticola,1,1
Habenaria_urbaniana,1,0
Habenaria_warmingii,1,1
Habenaria_weileriana,0,1
Orchis_quadripunctata,0,1
Platanthera_chlorantha,0,1
Satyrium_bicorne,0,1
Stenoglottis_longifolia,0,1
