,cr,nonCr,Single_trait
Marcetia_grandiflora,1,0,2
Marcetia_acerosa,1,0,2
Marcetia_formosa,1,0,2
Marcetia_harleyi,1,0,2
Marcetia_sp2,1,0,2
Marcetia_eimeriana,1,0,2
Marcetia_viscida,1,0,2
Marcetia_bahiensis,1,0,2
Marcetia_velutina,1,0,2
Marcetia_candolleana,1,0,2
Marcetia_macrophylla,1,0,2
Marcetia_mucugensis,1,0,2
Macairea_acerosa,1,0,2
Marcetia_sp1,1,0,2
Marcetia_latifolia,1,0,2
Marcetia_alba,1,0,2
Marcetia_canescens,1,0,2
Comolia_sertularia,1,0,2
Comolia_stenodon,1,0,2
Comolia_sessilis,1,0,2
Comolia_edmundoi,1,0,2
Fritzschia_erecta,1,0,2
Fritzschia_aninostemon,1,0,2
Comolia_sp1,1,0,2
Aciotis_polystachya,1,0,2
Siphanthera_dawsonii,1,0,2
Siphanthera_sibtilis,1,0,2
Siphanthera_paludosa,1,0,2
Siphanthera_arenaria,1,0,2
Acisanthera_genliseoides,1,0,2
Aciotis_annua,0,1,0
Aciotis_paludosa,0,1,0
Aciotis_circaeifolia,0,1,0
Aciotis_purpurascens,0,1,0
Aciotis_rubricaulis,0,1,0
Aciotis_indecora,0,1,0
Appendicularia_thymifolia,0,1,0
Ernestia_pullei,0,1,0
Nepsera_aquatica,0,1,0
Aciotis_acuminifolia,0,1,0
Ernestia_confertiflora,0,1,0
Ernestia_rubra,0,1,0
Ernestia_maguirei,0,1,0
Ernestia_ovata,0,1,0
Macairea_lasiophylla,0,1,0
Macairea_multinervia,0,1,0
Ernestia_quadriseta,0,1,0
Ernestia_adenotricha,0,1,0
Ernestia_tenella,0,1,0
Macairea_pachyphylla,0,1,0
Macairea_thyrsiflora,0,1,0
Siphanthera_hostmannii,0,1,0
Siphanthera_cordifolia,0,1,0
Siphanthera_fasciculata,0,1,0
Comolia_vernicosa,0,1,0
Sandemania_hoehnei,0,1,0
Acisanthera_alsinaefolia,0,1,0
Acisanthera_paraguayensis,0,1,0
Comolia_ayangannae,0,1,0
Acisanthera_sp1,0,1,0
Acisanthera_uniflora,0,1,0
Acisanthera_crassipes,0,1,0
Acisanthera_limnobios,0,1,0
Acisanthera_tetraptera,0,1,0
Comolia_coriacea,0,1,0
Comolia_montana,0,1,0
Comolia_lythrarioides,0,1,0
Comolia_leptophylla,0,1,0
Comolia_villosa,0,1,0
Comolia_smithii,0,1,0
Comolia_microphylla,0,1,0
Comolia_ovalifolia,0,1,0
Acisanthera_boissieriana,0,1,0
Acisanthera_hedyotoidea,0,1,0
Ernestia_glandulosa,0,1,0
Ernestia_cordifolia,0,1,0
Acanthella_sprucei,0,1,0
Marcetia_taxifolia,1,1,1
Marcetia_ericoides,1,1,1
Comolia_lanceiflora,1,1,1
Macairea_radula,1,1,1
Siphanthera_gracillima,1,1,1
Siphanthera_cordata,1,1,1
Siphanthera_foliosa,1,1,1
Acisanthera_variabilis_var_gabriuscula,1,1,1
Acisanthera_variabilis,1,1,1
Acisanthera_alsinaefolia_var_glazioviana,1,1,1
Acisanthera_quadrata,1,1,1
Acisanthera_bivalvis,1,1,1
