,cr,nonCr,Single_trait
Tibouchina_arenaria,1,0,2
Tibouchina_microphylla,1,0,2
Tibouchina_cardinalis,1,0,2
Tibouchina_laevicaulis,1,0,2
Tibouchina_angustifolia,1,0,2
Tibouchina_barnebyana,1,0,2
Tibouchina_nodosa,1,0,2
Svitramia_minor,1,0,2
Svitramia_hatschbachii,1,0,2
Svitramia_sp2,1,0,2
Svitramia_sp1,1,0,2
Svitramia_pulchra,1,0,2
Svitramia_wurdackiana,1,0,2
Tibouchina_aemula,1,0,2
Tibouchina_pereirae,1,0,2
Tibouchina_blanchetiana,1,0,2
Tibouchinopsis_mirabilis,1,0,2
Tibouchina_oreophila,1,0,2
Tibouchina_trinervia,1,0,2
Tibouchina_valtherii,1,0,2
Tibouchina_boudetii,0,1,0
Tibouchina_itatiaeae,0,1,0
Tibouchina_cinerea,0,1,0
Itatiaia_cleistopetala,0,1,0
Tibouchina_lindeniana,0,1,0
Tibouchina_macrochiton,0,1,0
Tibouchina_hospita,0,1,0
Tibouchina_salviifolia,0,1,0
Tibouchina_sp1,0,1,0
Tibouchina_clidemioides,0,1,0
Tibouchina_cryptadena,0,1,0
Tibouchina_clavata,0,1,0
Tibouchina_sp2,0,1,0
Tibouchina_sp3,0,1,0
Tibouchina_radula,0,1,0
Tibouchina_urceolaris,0,1,0
Tibouchina_corymbosa,0,1,0
Tibouchina_trichopoda,0,1,0
Tibouchina_arborea,0,1,0
Tibouchina_sellowiana,0,1,0
Tibouchina_cristata,0,1,0
Tibouchina_axillaris,0,1,0
Tibouchina_benthamiana,0,1,0
Tibouchina_foveolata,0,1,0
Tibouchina_mutabilis,0,1,0
Tibouchina_kleinii,0,1,0
Tibouchina_dubia,0,1,0
Tibouchina_ursina,0,1,0
Tibouchina_castellensis,0,1,0
Tibouchina_ramboi,0,1,0
Tibouchina_pulchra,0,1,0
Brachyotum_harlingii,0,1,0
Brachyotum_fraternum,0,1,0
Brachyotum_benthamianum,0,1,0
Brachyotum_confertum,0,1,0
Brachyotum_fictum,0,1,0
Brachyotum_ledifolium,0,1,0
Brachyotum_lindenii,0,1,0
Brachyotum_incrassatum,0,1,0
Tibouchina_octopetala,0,1,0
Tibouchina_bicolor,0,1,0
Brachyotum_microdon,0,1,0
Brachyotum_rostratum,0,1,0
Tibouchina_naudiniana,0,1,0
Tibouchina_citrina,0,1,0
Tibouchina_confertiflora,0,1,0
Tibouchina_gayana,0,1,0
Tibouchina_sp4,0,1,0
Tibouchina_grossa,0,1,0
Tibouchina_mollis,0,1,0
Tibouchina_pendula,0,1,0
Tibouchina_laxa,0,1,0
Tibouchina_ciliaris,0,1,0
Tibouchina_clinopodifolia,0,1,0
Tibouchina_minor,0,1,0
Tibouchina_cerastifolia,0,1,0
Tibouchina_chamaecistus,0,1,0
Tibouchina_ornata,0,1,0
Tibouchina_longifolia,0,1,0
Tibouchina_geitneriana,0,1,0
Tibouchina_wurdackii,0,1,0
Tibouchina_inopinata,0,1,0
Tibouchina_lepidota,0,1,0
Tibouchina_gleasoniana,0,1,0
Pilocosta_nubicola,0,1,0
Pilocosta_nana,0,1,0
Pilocosta_campanensis,0,1,0
Pilocosta_oerstedii,0,1,0
Centradenia_grandifolia,0,1,0
Centradenia_inaequilateralis,0,1,0
Heterocentron_subtriplinervium,0,1,0
Heterocentron_muricatum,0,1,0
Heterocentron_elegans,0,1,0
Tibouchina_breedlovei,0,1,0
Monochaetum_humboldtianum,0,1,0
Monochaetum_meridense,0,1,0
Monochaetum_uribei,0,1,0
Monochaetum_vulcanicum,0,1,0
Monochaetum_bonplandii,0,1,0
Monochaetum_tenellum,0,1,0
Monochaetum_polyneuron,0,1,0
Monochaetum_discolor,0,1,0
Chaetolepis_microphylla,0,1,0
Chaetolepis_cufodontisii,0,1,0
Castratella_piloselloides,0,1,0
Bucquetia_glutinosa,0,1,0
Tibouchina_llanorum,0,1,0
Tibouchina_striphnocalyx,0,1,0
Tibouchina_fraterna,0,1,0
Tibouchina_bipenicillata,0,1,0
Tibouchina_aspera_var_aperrima,0,1,0
Tibouchina_aspera_var_aspera,0,1,0
Tibouchina_fissinervia,1,1,1
Tibouchina_stenocarpa,1,1,1
Tibouchina_martiusiana,1,1,1
Microlepis_oleifolia,1,1,1
Tibouchina_frigidula,1,1,1
Tibouchina_martialis,1,1,1
Tibouchina_estrellensis,1,1,1
Tibouchina_granulosa,1,1,1
Tibouchina_heteromalla,1,1,1
Tibouchina_manicata,1,1,1
Tibouchina_candolleana,1,1,1
Tibouchina_semidecandra,1,1,1
Tibouchina_fothergillae,1,1,1
Tibouchina_gardneriana,1,1,1
Tibouchina_velutina,1,1,1
Tibouchina_melanocalyx,1,1,1
Tibouchina_alpestris,1,1,1
Tibouchina_sebastianopolitana,1,1,1
Tibouchina_hieracioides,1,1,1
Tibouchina_gracilis,1,1,1
Tibouchina_aegopogon,1,1,1
Tibouchina_papyrus,1,1,1
Desmoscelis_villosa,1,1,1
