,cr,nonCr
Deluciris_rupestris,1,1
Deluciris_violacea,1,1
Neomarica_altivalis,0,1
Neomarica_candida,0,1
Neomarica_decora,0,1
Neomarica_decumbens,0,1
Neomarica_eburnea,0,1
Neomarica_floscella,0,1
Neomarica_glauca,1,1
Neomarica_gracilis,0,1
Neomarica_humilis,0,1
Neomarica_imbricata,0,1
Neomarica_involuta,0,1
Neomarica_itatiaica,0,1
Neomarica_mauroi,0,1
Neomarica_northiana,0,1
Neomarica_rigida,0,1
Neomarica_sabinei,0,1
Neomarica_santivicenti,0,1
Neomarica_sp1,0,1
Neomarica_sp2,0,1
Neomarica_speciosa,0,1
Neomarica_unca,0,1
Pseudiris_speciosa,1,0
Pseudotrimezia_aff_juncifolia,1,1
Pseudotrimezia_barretoi,1,0
Pseudotrimezia_cathartica,1,1
Pseudotrimezia_cipoana,1,0
Pseudotrimezia_diamantinensis,1,0
Pseudotrimezia_elegans,1,0
Pseudotrimezia_fistulosa,1,0
Pseudotrimezia_fulva,1,0
Pseudotrimezia_gracilis,1,0
Pseudotrimezia_juncifolia,1,1
Pseudotrimezia_juncifolia_36,1,0
Pseudotrimezia_laevis,1,0
Pseudotrimezia_nana,1,0
Pseudotrimezia_pauloi,1,0
Pseudotrimezia_planifolia,1,0
Pseudotrimezia_plicatifolia,1,1
Pseudotrimezia_recurvata,1,0
Pseudotrimezia_sp1,1,0
Pseudotrimezia_striata,1,0
Pseudotrimezia_sublateralis,1,0
Pseudotrimezia_synandra,1,0
Pseudotrimezia_tenuissima,1,0
Pseudotrimezia_truncata,1,1
Trimezia_aff_sincorana,1,0
Trimezia_brevicaulis,1,0
Trimezia_campanula,0,1
Trimezia_caulosa,0,1
Trimezia_galaxioides,1,1
Trimezia_lutea,1,1
Trimezia_martinicensis,1,1
Trimezia_sincorana,1,1
Trimezia_spathata,0,1
Trimezia_steyermarkii,0,1
