,cr,nonCr,Single_trait
Acanthochlamys_bracteata,0,1,0
Barbacenia_bishopii,1,0,2
Barbacenia_blackii,1,0,2
Barbacenia_blanchetii,1,0,2
Barbacenia_celiae,0,1,0
Barbacenia_coccinea,1,0,2
Barbacenia_contasana,1,0,2
Barbacenia_delicatula,1,0,2
Barbacenia_exscapa,1,0,2
Barbacenia_fanniae,0,1,0
Barbacenia_filamentifera,1,0,2
Barbacenia_flava_var_flava,1,1,1
Barbacenia_flava_var_minor,1,1,1
Barbacenia_flavida,0,1,0
Barbacenia_fulva,1,1,1
Barbacenia_gardneri,1,0,2
Barbacenia_gentianoides,1,0,2
Barbacenia_glabra,0,1,0
Barbacenia_glutinosa,1,0,2
Barbacenia_gounelleana,0,1,0
Barbacenia_graminifolia,1,0,2
Barbacenia_ignea,1,0,2
Barbacenia_involucrata,1,0,2
Barbacenia_irwiniana,0,1,0
Barbacenia_latifolia,1,0,2
Barbacenia_longiflora,1,0,2
Barbacenia_longiscapa,1,0,2
Barbacenia_lymansmithii,0,1,0
Barbacenia_macrantha,1,0,2
Barbacenia_mantiqueirae,0,1,0
Barbacenia_markgrafii,1,0,2
Barbacenia_minima,1,0,2
Barbacenia_nana,1,0,2
Barbacenia_paranaensis,0,1,0
Barbacenia_plantaginea,1,0,2
Barbacenia_pungens,1,0,2
Barbacenia_purpurea,0,1,0
Barbacenia_rectifolia,1,0,2
Barbacenia_reflexa,1,0,2
Barbacenia_regis,1,0,2
Barbacenia_riedeliana,1,0,2
Barbacenia_riparia,1,0,2
Barbacenia_rubrovirens,1,0,2
Barbacenia_serracabralea,1,0,2
Barbacenia_sp1,1,0,2
Barbacenia_spectabilis,0,1,0
Barbacenia_spiralis,1,0,2
Barbacenia_tomentosa,1,1,1
Barbacenia_umbrosa,1,0,2
Barbacenia_vandellii,1,0,2
Barbaceniopsis_boliviensis,0,1,0
Barbaceniopsis_castillonii,0,1,0
Barbaceniopsis_humahuaquensis,0,1,0
Barbaceniopsis_vargasiana,0,1,0
Vellozia_abietina,1,0,2
Vellozia_alata,1,0,2
Vellozia_albiflora,1,1,1
Vellozia_albohexandra,1,0,2
Vellozia_aloifolia,1,0,2
Vellozia_andina,0,1,0
Vellozia_armata,1,0,2
Vellozia_auriculata,1,0,2
Vellozia_barbata,1,0,2
Vellozia_bradei,1,0,2
Vellozia_brevifolia,1,0,2
Vellozia_breviscapa,1,0,2
Vellozia_burlemarxii,1,0,2
Vellozia_caespitosa,1,0,2
Vellozia_candida,0,1,0
Vellozia_canelinha,1,0,2
Vellozia_caput_ardeae,1,0,2
Vellozia_caruncularis,1,0,2
Vellozia_caudata,1,0,2
Vellozia_ciliata,1,0,2
Vellozia_cipoensis,1,0,2
Vellozia_compacta,1,0,2
Vellozia_crinita,1,1,1
Vellozia_cryptantha,1,0,2
Vellozia_dasypus,1,1,1
Vellozia_declinans,1,0,2
Vellozia_epidendroides,1,0,2
Vellozia_exilis,0,1,0
Vellozia_froesii,1,0,2
Vellozia_furcata,1,0,2
Vellozia_geotegens,1,0,2
Vellozia_gigantea,1,1,1
Vellozia_giuliettiae,1,0,2
Vellozia_glabra,1,0,2
Vellozia_glauca,1,1,1
Vellozia_goiasensis,0,1,0
Vellozia_graminea,1,0,2
Vellozia_graomogolensis,1,0,2
Vellozia_hatschbachii,1,0,2
Vellozia_hemisphaerica,1,0,2
Vellozia_hirsuta,1,0,2
Vellozia_intermedia,1,1,1
Vellozia_jolyi,1,0,2
Vellozia_luteola,1,0,2
Vellozia_marcescens,1,0,2
Vellozia_maxillarioides,1,0,2
Vellozia_metzgerae,1,0,2
Vellozia_minima,1,0,2
Vellozia_nanuzae,1,0,2
Vellozia_nivea,1,1,1
Vellozia_obtecta,0,1,0
Vellozia_ornata,1,0,2
Vellozia_patens,1,0,2
Vellozia_peripherica,0,1,0
Vellozia_plicata,0,1,0
Vellozia_prolifera,1,0,2
Vellozia_punctulata,1,0,2
Vellozia_religiosa,1,0,2
Vellozia_resinosa,1,0,2
Vellozia_scoparia,1,0,2
Vellozia_sellowii,1,0,2
Vellozia_semirii,1,0,2
Vellozia_sessilis,0,1,0
Vellozia_seubertiana,1,0,2
Vellozia_spiralis,1,0,2
Vellozia_stenocarpa,1,0,2
Vellozia_stiptata,1,0,2
Vellozia_strangii,1,0,2
Vellozia_strangiixvariabilis,1,0,2
Vellozia_streptophylla,1,0,2
Vellozia_subscabra,1,0,2
Vellozia_taxifolia,1,0,2
Vellozia_tillandsioides,1,0,2
Vellozia_tragacantha,1,0,2
Vellozia_tubiflora,1,1,1
Vellozia_variabilis,1,1,1
Vellozia_variegata,0,1,0
Xerophyta_eglandulosa,0,1,0
Xerophyta_dasylirioides,0,1,0
Xerophyta_cf_eglandulosa,0,1,0
Xerophyta_elegans,0,1,0
Xerophyta_equisetoides,0,1,0
Xerophyta_humilis,0,1,0
Xerophyta_cf_pauciramosa,0,1,0
Xerophyta_pectinata,0,1,0
Xerophyta_pinifolia,0,1,0
Xerophyta_retinervis,0,1,0
Xerophyta_schlechteri,0,1,0
Xerophyta_sp1,0,1,0
Xerophyta_sp2,0,1,0
Xerophyta_sp3,0,1,0
Xerophyta_sp4,0,1,0
Xerophyta_sp5,0,1,0
Xerophyta_sp6,0,1,0
Xerophyta_sp7,0,1,0
Xerophyta_villosa,0,1,0
Xerophyta_viscosa,0,1,0
