hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),rpl32 - trnL (plastid),ndhf (plastid),,Reference ,,campo_rupestre,non_campo_rupestre
Albertinia_brasiliensis,Albertinia_brasiliensis,Albertinia brasiliensis Spreng.,Albertinia,1,,EF155744.1,KM278384.1,KM243764.1,EF155656.1,,Loeuille et al. 2015,,1,1
Anteremanthus_hatschbachii,Anteremanthus_hatschbachii,Anteremanthus hatschbachii H.Rob.,Anteremanthus,0.5,,KM053285.1,KM278385.1,KM243765.1,KM243835.1,,Loeuille et al. 2015,,1,0
Blanchetia_heterotricha,Blanchetia_heterotricha,Blanchetia heterotricha DC.,Blanchetia,0.5,,KM053288.1,KM278387.1,KM243768.1,KM243836.1,,Loeuille et al. 2015,,1,1
Chresta_pacourinoides,Chresta_pacourinoides,Chresta pacourinoides (Mart. ex DC.) Siniscalchi & Loeuille,(outgroup),(outgroup),,KM053327.1,KM278460.1,KM243815.1,KM243839.1,,Loeuille et al. 2015,,0,1
Chronopappus_bifrons,Chronopappus_bifrons,Chronopappus bifrons (DC. ex Pers.) DC.,Chronopappus,0.5,,KM053295.1,KM278388.1,KM243776.1,KM243845.1,,Loeuille et al. 2015,,1,0
Eremanthus_arboreus,Eremanthus_arboreus,Eremanthus arboreus (Gardner) MacLeish,Eremanthus,0.74,,KM278328.1,KM278390.1,KM358496.1,KM278466.1,,Loeuille et al. 2015,,0,1
Eremanthus_argenteus,Eremanthus_argenteus,Eremanthus argenteus MacLeish & H.Schumach.,Eremanthus,0.74,,,KM278391.1,KM358510.1,KM278467.1,,Loeuille et al. 2015,,1,0
Eremanthus_auriculatus,Eremanthus_auriculatus,Eremanthus auriculatus MacLeish & H.Schumach.,Eremanthus,0.74,,KM278329.1,KM278392.1,KM358491.1,KM278468.1,,Loeuille et al. 2015,,1,0
Eremanthus_brevifolius,Eremanthus_brevifolius,Eremanthus brevifolius Loeuille,Eremanthus,0.74,,KM278330.1,KM278393.1,KM358498.1,KM278469.1,,Loeuille et al. 2015,,1,0
Eremanthus_capitatus,Eremanthus_capitatus,Eremanthus capitatus (Spreng.) MacLeish,Eremanthus,0.74,,KM278331.1,KM278394.1,KM358497.1,KM278470.1,,Loeuille et al. 2015,,1,1
Eremanthus_cinctus,Eremanthus_cinctus,Eremanthus cinctus Baker,Eremanthus,0.74,,KM278332.1,KM278395.1,KM358471.1,KM278471.1,,Loeuille et al. 2015,,0,1
Eremanthus_crotonoides,Eremanthus_crotonoides,Eremanthus crotonoides (DC.) Sch.Bip.,incertaesedis,1,,KM278333.1,KM278396.1,KM358504.1,KM278472.1,,Loeuille et al. 2015,,1,1
Eremanthus_elaeagnus,Eremanthus_elaeagnus,Eremanthus elaeagnus (Mart. ex DC.) Sch.Bip.,Eremanthus,0.74,,KM278334.1,KM278397.1,KM358485.1,KM278473.1,,Loeuille et al. 2015,,1,0
Eremanthus_erythropappus,Eremanthus_erythropappus,Eremanthus erythropappus (DC.) MacLeish,Eremanthus,0.74,,KM053303.1,KM278398.1,KM243789.1,KM243850.1,,Loeuille et al. 2015,,1,1
Eremanthus_glomerulatus,Eremanthus_glomerulatus,Eremanthus glomerulatus Less.,Eremanthus,0.74,,KM053304.1,KM278399.1,KM243790.1,KM243851.1,,Loeuille et al. 2015,,1,1
Eremanthus_goyazensis,Eremanthus_goyazensis,Eremanthus goyazensis (Gardner) Sch.Bip.,Eremanthus,0.74,,KM278335.1,KM278400.1,KM358492.1,KM278474.1,,Loeuille et al. 2015,,1,1
Eremanthus_incanus,Eremanthus_incanus,Eremanthus incanus (Less.) Less.,Eremanthus,0.74,,KM278336.1,KM278401.1,KM358486.1,KM278475.1,,Loeuille et al. 2015,,1,1
Eremanthus_leucodendron,Eremanthus_leucodendron,Eremanthus leucodendron Mattf.,Lychnophorella,0.55,,KM278337.1,KM278402.1,KM358522.1,KM278476.1,,Loeuille et al. 2015,,1,0
Eremanthus_mattogrossensis,Eremanthus_mattogrossensis,Eremanthus mattogrossensis Kuntze,Eremanthus,0.74,,KM278338.1,KM278403.1,KM358509.1,KM278477.1,,Loeuille et al. 2015,,1,1
Eremanthus_mollis,Eremanthus_mollis,Eremanthus mollis Sch.Bip.,Eremanthus,0.74,,KM278339.1,KM278404.1,KM358493.1,KM278478.1,,Loeuille et al. 2015,,1,1
Eremanthus_pabstii,Eremanthus_pabstii,Eremanthus pabstii G.M.Barroso,Piptolepis,0.5,,KM278340.1,KM278405.1,KM358517.1,KM278479.1,,Loeuille et al. 2015,,1,1
Eremanthus_polycephalus,Eremanthus_polycephalus,Eremanthus polycephalus (DC.) MacLeish,Eremanthus,0.74,,KM278341.1,KM278406.1,KM358500.1,KM278480.1,,Loeuille et al. 2015,,1,0
Eremanthus_uniflorus,Eremanthus_uniflorus,Eremanthus uniflorus MacLeish & H.Schumach.,Eremanthus,0.74,,KM278342.1,KM278407.1,KM358490.1,KM278481.1,,Loeuille et al. 2015,,1,1
Eremanthus_veadeiroensis,Eremanthus_veadeiroensis,Eremanthus veadeiroensis H.Rob.,Eremanthus,0.74,,KM278343.1,KM278408.1,,KM278482.1,,Loeuille et al. 2015,,1,0
